question_id,source_run_id,c21_result,c21_failure_reason,c22_result,c22_response_role,c22_failure_reason,transition,negative_reference_count,c22_citation_trace
1,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""주택임대차보호법 제3조"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""주택임대차보호법 제3조"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
2,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""「부동산 실권리자명의 등기에 관한 법률」 제4조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제4조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""「부동산 실권리자명의 등기에 관한 법률」 제4조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제4조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
3,law-v2-user-regression-baf62a52ffa7,rejected,ungrounded_law_article_pair,passed,grounded_answer,,REJECT → PASS,1,"[{""raw_citation"":""「주택임대차보호법」 제6조의3"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제6조의3"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제6조"",""parsed_article_number"":""제6조"",""citation_role"":""negative_or_unavailable_reference"",""local_sentence"":""다만, **언제까지 갱신 요구를 해야 하는지에 관한 구체적인 기간**은 이번 검색 결과에 인용된 제6조 본문이 없어 확정적으로 안내하기 어렵습니다"",""validation_decision"":""excluded_from_grounding_not_evidence""}]"
4,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""공인중개사법 제25조"",""parsed_law_name"":""공인중개사법"",""parsed_article_number"":""제25조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
5,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""주택임대차보호법 제3조"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""주택임대차보호법 제3조의2"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조의2"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""주택임대차보호법 제8조"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제8조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
6,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""「부동산 실권리자명의 등기에 관한 법률」 제3조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""같은 법 제4조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제4조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제4조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제4조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""같은 법 제5조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제5조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""같은 법 제7조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제7조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제6조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제6조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
7,law-v2-user-regression-baf62a52ffa7,not_reached,provider_error,not_reached,not_reached,provider_error,not_reached,0,[]
8,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""주택임대차보호법 제6조의2"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제6조의2"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
9,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""공인중개사법 제25조"",""parsed_law_name"":""공인중개사법"",""parsed_article_number"":""제25조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""공인중개사법 제30조"",""parsed_law_name"":""공인중개사법"",""parsed_article_number"":""제30조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
10,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""「공인중개사법」 제20조"",""parsed_law_name"":""공인중개사법"",""parsed_article_number"":""제20조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
11,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""「부동산 거래신고 등에 관한 법률」 제3조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
12,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""「부동산 거래신고 등에 관한 법률」 제8조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제8조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""같은 법 제3조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제8조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제8조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제3조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""같은 법 제9조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제9조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제26조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제26조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""「부동산 거래신고 등에 관한 법률」 제3조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제8조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제8조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제9조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제9조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제26조"",""parsed_law_name"":""부동산 거래신고 등에 관한 법률"",""parsed_article_number"":""제26조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
13,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""주택임대차보호법 제3조"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""주택임대차보호법 제3조의2"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조의2"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""주택임대차보호법 제3조의3"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조의3"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""주택임대차보호법 제8조"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제8조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
14,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""「주택임대차보호법」 제3조"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""「부동산 실권리자명의 등기에 관한 법률」 제4조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제4조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""제4조"",""parsed_law_name"":""부동산 실권리자명의 등기에 관한 법률"",""parsed_article_number"":""제4조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""「주택임대차보호법」 제3조의3"",""parsed_law_name"":""주택임대차보호법"",""parsed_article_number"":""제3조의3"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
15,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""「지방세법」 제28조"",""parsed_law_name"":""지방세법"",""parsed_article_number"":""제28조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
16,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""「지방세법 시행령」 제51조"",""parsed_law_name"":""지방세법 시행령"",""parsed_article_number"":""제51조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
17,law-v2-user-regression-baf62a52ffa7,passed,,passed,grounded_answer,,PASS → PASS,0,"[{""raw_citation"":""민법 제287조"",""parsed_law_name"":""민법"",""parsed_article_number"":""제287조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""},{""raw_citation"":""민법 제366조"",""parsed_law_name"":""민법"",""parsed_article_number"":""제366조"",""citation_role"":""primary_grounding"",""parent_retrieval_pair"":null,""parent_text_match"":false,""matched_parent_chunk_count"":0,""validation_decision"":""allowed_retrieval_pair""}]"
18,law-v2-user-regression-baf62a52ffa7,rejected,missing_article_citation,passed,abstention_without_citation,,REJECT → PASS,0,[]
19,law-v2-user-regression-baf62a52ffa7,not_reached,provider_error,not_reached,not_reached,provider_error,not_reached,0,[]
